Date,Action,Time Taken
26-03-2012 13:50:56,AutoStartVacationsHandler,2.0002
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 14:00:55,FleetMovement,3335.1908
26-03-2012 14:00:56,AuctionTimeout,7.0004
26-03-2012 14:00:56,VacationTimeout,6.0003
26-03-2012 14:00:56,AutoStartVacationsHandler,5.0003
26-03-2012 14:00:56,EndBounties,5.0003
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 14:10:55,FleetMovement,3335.1908
26-03-2012 14:10:56,AuctionTimeout,3.0002
26-03-2012 14:10:56,VacationTimeout,2.0001
26-03-2012 14:10:56,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 14:20:54,FleetMovement,2002.1145
26-03-2012 14:20:54,AuctionTimeout,3.0002
26-03-2012 14:20:54,VacationTimeout,2.0001
26-03-2012 14:20:54,AutoStartVacationsHandler,3.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 14:30:54,FleetMovement,2222.1271
26-03-2012 14:30:55,AuctionTimeout,3.0002
26-03-2012 14:30:55,VacationTimeout,2.0001
26-03-2012 14:30:55,AutoStartVacationsHandler,2.0002
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 14:40:54,FleetMovement,2128.1218
26-03-2012 14:40:55,AuctionTimeout,3.0002
26-03-2012 14:40:55,VacationTimeout,2.0001
26-03-2012 14:40:55,AutoStartVacationsHandler,1.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 14:50:54,FleetMovement,2118.1211
26-03-2012 14:50:55,AuctionTimeout,3.0002
26-03-2012 14:50:55,VacationTimeout,4.0002
26-03-2012 14:50:55,AutoStartVacationsHandler,4.0002
26-03-2012 14:50:55,EndBounties,5.0003
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 15:00:54,FleetMovement,2241.1282
26-03-2012 15:00:55,AuctionTimeout,3.0002
26-03-2012 15:00:55,VacationTimeout,3.0002
26-03-2012 15:00:55,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 15:10:54,FleetMovement,2025.1158
26-03-2012 15:10:54,AuctionTimeout,2.0001
26-03-2012 15:10:54,VacationTimeout,2.0001
26-03-2012 15:10:54,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 15:20:54,FleetMovement,2095.1198
26-03-2012 15:20:55,AuctionTimeout,3.0002
26-03-2012 15:20:55,VacationTimeout,2.0001
26-03-2012 15:20:55,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 15:30:54,FleetMovement,2162.1236
26-03-2012 15:30:55,AuctionTimeout,4.0002
26-03-2012 15:30:55,VacationTimeout,2.0001
26-03-2012 15:30:55,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 15:40:54,FleetMovement,2233.1277
26-03-2012 15:40:55,AuctionTimeout,3.0001
26-03-2012 15:40:55,VacationTimeout,2.0001
26-03-2012 15:40:55,AutoStartVacationsHandler,2.0001
26-03-2012 15:40:55,EndBounties,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 15:50:54,FleetMovement,2309.1321
26-03-2012 15:50:55,AuctionTimeout,3.0001
26-03-2012 15:50:55,VacationTimeout,2.0001
26-03-2012 15:50:55,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 16:00:54,FleetMovement,2458.1406
26-03-2012 16:00:55,AuctionTimeout,3.0002
26-03-2012 16:00:55,VacationTimeout,2.0001
26-03-2012 16:00:55,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
